,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
0,Beasts of No Nation,Cary Joji Fukunaga,Amy Kaufman Cary Joji Fukunaga Daniela Taplin Lundberg Riva Marker Jeffrey Skoll Daniel Crown Idris Elba Uzodinma Iweala,Cary Joji Fukunaga,"['Beasts of No Nation', 'by Uzodinma Iweala']","Idris Elba Abraham Attah Kurt Egyiawan Jude Akuwudike Emmanuel ""King King"" Nii Adom Quaye",Dan Romer,Cary Joji Fukunaga,Mikkel E. G. Nielsen Pete Beaudreau,Red Crown Productions Primary Productions Participant Media Parliament of Owls,Bleecker Street Netflix,"September 3, 2015 ( Venice ) October 16, 2015 (Worldwide)",137 minutes,United States,English Twi,$6 million,"$90,777 ",137,6000000,90777,03-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1,The Ridiculous 6,Frank Coraci,Allen Covert Adam Sandler Ted Sarandos,,,Adam Sandler Terry Crews Jorge Garcia Taylor Lautner Rob Schneider Luke Wilson,Rupert Gregson-Williams Elmo Weber,Dean Semler,Tom Costain,,Netflix,11-Dec-15,120 minutes,United States,English,$60 million,,120,60000000,,11-12-15,,,,Tim Herlihy Adam Sandler,Happy Madison Productions,,,,,,,,,,,,,,,,,,,,,
2,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Yuen Woo-ping,Charlie Nguyen Harvey Weinstein,John Fusco,"['Iron Knight, Silver Vase', 'by', 'Wang Dulu']",Donnie Yen Michelle Yeoh,Shigeru Umebayashi,Newton Thomas Sigel,Jeff Betancourt,,Netflix The Weinstein Company,"February 18, 2016 (Hong Kong) February 19, 2016 (China) February 26, 2016 (Worldwide)",105 minutes,United States China,English,,US$31 million,105,,31000000,18-02-16,,,,,"['China Film Group', 'Pegasus Taihe Entertainment', 'The Weinstein Company', 'Yucaipa Films']",,,,,,,,,,,,,,,,,,,,,
3,Pee-wee's Big Holiday,John Lee,"['Judd Apatow', 'Paul Reubens']",,,"['Paul Reubens', 'Joe Manganiello']",Mark Mothersbaugh,Tim Orr,Jeff Buchanan,,Netflix,"March 17, 2016 ( SXSW ) March 18, 2016 (Worldwide)",89 minutes,United States,English,,,89,,,17-03-16,,,,"['Paul Reubens', 'Paul Rust']","['Pee-wee Pictures', 'Apatow Productions']",,,,,,,,,,,,,,,,,,,,,
4,Special Correspondents,Ricky Gervais,Chris Coen Aaron L. Gilbert Ricky Gervais Ted Sarandos Manuel Munz Larry Sanitsky,,"['Envoyés très spéciaux', 'by Simon Michaël & Jacques Labib']",Ricky Gervais Eric Bana Vera Farmiga Kevin Pollak Kelly Macdonald Benjamin Bratt America Ferrera Raúl Castillo,Dickon Hinchliffe,Terry Stacey,Nicolas Chaudeurge,Bron Studios Unanimous Entertainment,Netflix,22 April 2016 ( Tribeca ) 29 April 2016 (Worldwide),100 minutes,United States United Kingdom Canada,English,,,100,,,22-04-16,,,,Ricky Gervais,,,,,,,,,,,,,,,,,,,,,,
5,The Do-Over,Steven Brill,Adam Sandler Allen Covert Kevin Grady Ted Sarandos,,,Adam Sandler David Spade Paula Patton Kathryn Hahn Luis Guzmán,Rupert Gregson-Williams,Dean Semler,Tom Costain,,Netflix,"May 16, 2016 ( Los Angeles ) May 27, 2016 (United States)",108 minutes,United States,English,$40 million,,108,40000000,,16-05-16,,,,Kevin Barnett Chris Pappas,Happy Madison Productions,,,,,,,,,,,,,,,,,,,,,
6,The Fundamentals of Caring,Rob Burnett,Rob Burnett Donna Gigliotti James Spies,,"['The Revised Fundamentals of Caregiving', 'by', 'Jonathan Evison']",Paul Rudd Craig Roberts Selena Gomez,Ryan Miller,Giles Nuttgens,Christopher Passig,,Netflix,"January 29, 2016 (Sundance Film Festival) June 24, 2016 (worldwide)",93 minutes,United States,English,,,93,,,29-01-16,,,,Rob Burnett,Worldwide Pants Levantine Films,,,,,,,,,,,,,,,,,,,,,
7,Brahman Naman,Qaushiq Mukherjee,Steve Barron,,,Shashank Arora,,,Manas Mittal,,Netflix,24 January 2016 ( Sundance ),95 minutes,India,English,,,95,,,24-01-16,,,,Naman Ramachandran,,,,,,,,,,,,,,,,,,,,,,
8,Rebirth,Karl Mueller,Ross M. Dinerstein,,,"['Fran Kranz', 'Adam Goldberg', 'Nicky Whelan', 'Kat Foster', 'Andrew J. West', 'Eric Ladin']",Jonathan Snipes,Benji Bakshi,Saul Herckis,,Netflix,"April 17, 2016 ( Tribeca Film Festival ) July 15, 2016 (Worldwide)",101 minutes,United States,English,,,101,,,17-04-16,,,,Karl Mueller,Campfire,,,,,,,,,,,,,,,,,,,,,
9,Tallulah,Sian Heder,Heather Rae Russell Levine Chris Columbus Eleanor Columbus Todd Traina David Newsom,,,Ellen Page Allison Janney Tammy Blanchard,Michael Brook,Paula Huidobro,Darrin Navarro,,Netflix,"January 23, 2016 ( Sundance ) July 29, 2016 (Worldwide)",111 minutes,United States,English,$6 million,,111,6000000,,23-01-16,,,,Sian Heder,Route One Entertainment Ocean Blue Entertainment,,,,,,,,,,,,,,,,,,,,,
10,XOXO,Christopher Louie,Christopher Louie Max Leitman Joe Russell Daniel Shafer Pete Tong,Dylan Meyer,,Sarah Hyland Graham Phillips Brett DeBuono Hayley Kiyoko Colin Woodell Ryan Hansen Ione Skye Chris D'Elia,Aaron Drake,Damián Acevedo,Sam Bauer Debby Germinio,,Netflix,26-Aug-16,92 minutes,United States,English,,,92,,,26-08-16,,,,,Netflix PrettyBird,Christopher Louie,,,,,,,,,,,,,,,,,,,,
11,ARQ,Tony Elliott,John Finemorea Kyle Franke Mason Novick Nick Spicer,,,Robbie Amell Rachael Taylor Shaun Benson Gray Powell Jacob Neayem Adam Butcher,Keegan Jessamy Bryce Mitchell,Daniel Grant,Kye Meechan,,Netflix,9 September 2016 ( TIFF ) 16 September 2016 (Worldwide),88 minutes,"['United States', 'Canada']",English,,,88,,,09-09-16,,,,Tony Elliott,Lost City XYZ Films MXN Entertainment,,,,,,,,,,,,,,,,,,,,,
12,The Siege of Jadotville,Richie Smyth,Alan Moloney Ruth Coady Johanna Hogan Justin Moore-Lewy,,,Jamie Dornan Mark Strong Mikael Persbrandt Jason O'Mara Danny Sapani Michael McElhatton Guillaume Canet,Joseph Trapanese,Nikolaus Summerer,Alex Mackie,,Netflix,"July 10, 2016 ( Galway Film Festival ) September 19, 2016 (Ireland) October 7, 2016 (Worldwide)",108 minutes,"['Ireland', 'South Africa']",English,,,108,,,10-07-16,,,,Kevin Brodbin,,,,,,,,,,,,,,,,,,,,,,
13,Mascots,Christopher Guest,Karen Murphy,,,"['Jane Lynch', 'Parker Posey', 'Christopher Guest', 'Fred Willard', 'Ed Begley Jr.', 'Christopher Moynihan', 'Don Lake', 'Zach Woods', ""Chris O'Dowd"", 'Bob Balaban', 'Jennifer Coolidge', 'Michael Hitchcock', 'John Michael Higgins', 'Jim Piddock', 'Maria Blasucci']",Jeffery C.J. Vanston,Kris Kachikis,Andrew Dickler,,Netflix,"September 10, 2016 ( TIFF ) October 13, 2016",89 minutes,United States,English,,,89,,,10-09-16,,,,Christopher Guest Jim Piddock,,,,,,,,,,,,,,,,,,,,,,
14,I Am the Pretty Thing That Lives in the House,Osgood Perkins,Rob Paris Robert Menzies,,,Ruth Wilson Bob Balaban Lucy Boynton Paula Prentiss,Elvis Perkins,Julie Kirkwood,Brian Ufberg,,Netflix,"September 10, 2016 ( TIFF ) October 28, 2016 (Worldwide)",87 minutes,Canada United States,English,,,87,,,10-09-16,,,,Osgood Perkins,Netflix Paris Film Zed Filmworks Go Insane Films,,,,,,,,,,,,,,,,,,,,,
15,7 Años,Roger Gual,,,,"['Juana Acosta', 'Àlex Brendemühl']",,,,,,28-Oct-16,1h 17min,Spain,Spanish,,,,,,28-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True Memoirs of an International Assassin,Jeff Wadlow,Justin Begnaud Raja Collins Mark Fasano Todd Garner,Jeff Morris Jeff Wadlow,,Kevin James Zulay Henao Andy García Maurice Compte Kelen Coleman Andrew Howard Rob Riggle,Ludwig Göransson,Peter Lyons Collister,Sean Albertson,,Netflix,11-Nov-16,98 minutes,United States,English,,,98,,,11-11-16,,,,,"['PalmStar Media', 'Global Film Group', 'Broken Road Productions']",Jeff Morris,,,,,,,,,,,,,,,,,,,,
17,Mercy,Chris Sparling,"['Robyn K. Bennett', 'Andrew D. Corkin', 'Kyle Franke']",,,"['James Wolk', 'Caitlin FitzGerald', 'Tom Lipinski', 'Dan Ziskie', 'Michael Godere', 'Michael Donovan']",Phil Mossman,Luca Del Puppo,"['Seth Anderson', 'Phillip Kimsey']",,Netflix,"June 4, 2016 ( LA Film Fest )",90 minutes,United States,English,,,90,,,04-06-16,,,,Chris Sparling,"['XYZ Films', 'Uncorked Productions']",,,,,,,,,,,,,,,,,,,,,
18,Spectral,Nic Mathieu,Jillian Share,"['George Nolfi', 'Jamie Moss', '(uncredited)', 'John Gatins', '(uncredited)']",,James Badge Dale Max Martini Emily Mortimer Bruce Greenwood,Junkie XL,Bojan Bazelli,Jason Ballantine,,Netflix,"December 9, 2016 (worldwide)",107 minutes,United States,English,$70 million,,107,70000000,,09-12-16,,,,,Legendary Pictures,Ian Fried Nic Mathieu,,,,,,,,,,,,,,,,,,,,
19,Barry,Vikram Gandhi,Vikram Gandhi Dana O'Keefe Teddy Schwarzman Ben Stillman,,,Devon Terrell Anya Taylor-Joy Jason Mitchell Ashley Judd Jenna Elfman Ellar Coltrane Avi Nash Linus Roache,Danny Bensi Saunder Jurriaans,Adam Newport-Berra,Jacob Craycroft,,Netflix,"September 10, 2016 ( TIFF ) December 16, 2016 (United States)",104 minutes,United States,English,,,104,,,10-09-16,,,,Adam Mansbach,Black Bear Pictures Cinetic Media,,,,,,,,,,,,,,,,,,,,,
20,Coin Heist,Emily Hagins,T.J. Barrack Ash Christian Anne Clements Marshall Lewy Claire Skowronek,,"['Coin Heist', 'by Elisa Ludwig']",Sasha Pieterse Alexis G. Zall Alex Saxon Jay Walker Neal Huff Michael Cyril Creighton Mark Blum,Jeremy William Smith,Noah Greenberg,William Paley,,Netflix,06-Jan-17,97 minutes,United States,English,,,97,,,06-01-17,,,,Emily Hagins,"['Adaptive Studios', 'Miramax Films']",,,,,,,,,,,,,,,,,,,,,
21,Clinical,Alistair Legrand,Ross M. Dinerstein,,,"['Vinessa Shaw', 'Kevin Rahm', 'India Eisley', 'Aaron Stanford', 'Nestor Serrano', 'Sydney Tamiia Poitier', 'Wilmer Calderon']",Ian Hultquist,John Frost,"['Blair Miller', 'Yvonne Valdez']",,Netflix,13-Jan-17,104 minutes,United States,English,,,104,,,13-01-17,,,,"['Luke Harvis', 'Alistair Legrand']",Campfire,,,,,,,,,,,,,,,,,,,,,
22,Take the 10,Chester Tam,Sam Maydew,,,"['Josh Peck', 'Tony Revolori', 'Emily Chang', 'Cleopatra Coleman', 'Kevin Corrigan', 'Andy Samberg']",,"['Ricardo Jacques Gale', 'Parker Tolifson']",Robert Schafer,,Netflix,20-Jan-17,80 minutes,United States,English,,,80,,,20-01-17,,,,Chester Tam,"['Blue Creek Pictures', 'Silver Lining Entertainment']",,,,,,,,,,,,,,,,,,,,,
23,iBoy,Adam Randall,Gail Mutrux Nate Bolotin Emily Leo Oliver Roskill Lucan Toh,,"['iBoy', 'by', 'Kevin Brooks']",Bill Milner Maisie Williams Jordan Bolger Charley Palmer Rothwell Aymen Hamdouchi Miranda Richardson Rory Kinnear,Max Aruj Steffen Thum,Eben Bolter,Jesse Parker,,Netflix,27-Jan-17,91 minutes,United Kingdom,English,,,91,,,27-01-17,,,,Joe Barton Mark Denton Jonny Stockwood,XYZ Films Wigwam Films Pretty Pictures,,,,,,,,,,,,,,,,,,,,,
24,Imperial Dreams,Malik Vitthal,"['Jonathan Schwartz', 'Andrea Sperling', 'Katherine Fairfax Wright']",,,"['John Boyega', 'Rotimi Akinosho', 'Keke Palmer', 'Glenn Plummer', ""De'Aundre Bonds""]",Flying Lotus,Monika Lenczewska,Suzanne Spangler,,Netflix,"January 20, 2014 ( Sundance ) February 3, 2017 ( Netflix )",90 minutes,United States,English,,,90,,,20-01-14,,,,"['Malik Vitthal', 'Ismet Prcic']",Super Crispy Entertainment,,,,,,,,,,,,,,,,,,,,,
25,Girlfriend's Day,Michael Stephenson,Bob Odenkirk Marc Provissiero M. Elizabeth Hughes Bryan DeGuire,,,Bob Odenkirk Amber Tamblyn Rich Sommer Natasha Lyonne Toby Huss Andy Richter Stacy Keach,Bobby Tahouri,Richard Wong,Terel Gibson,,Netflix,"February 14, 2017 (United States)",70 minutes,United States,English,,,70,,,14-02-17,,,,Bob Odenkirk Philip Zlotorynski Eric Von Hoffman,Magic Stone Productions Odenkirk Provissiero Entertainment,,David Lynch,,,,,,,,,,,,,,,,,,,
26,I Don't Feel at Home in This World Anymore,Macon Blair,Mette-Marie Kongsved Neil Kopp Vincent Savino Anish Savjani,,,Melanie Lynskey Elijah Wood David Yow Jane Levy Devon Graye,Brooke Blair Will Blair,Larkin Seiple,Tomas Vengris,,Netflix,"January 19, 2017 ( Sundance ) February 24, 2017 (United States)",96 minutes,United States,English,,,96,,,19-01-17,,,,Macon Blair,Film Science XYZ Films,,,,,,,,,,,,,,,,,,,,,
